library,name,tags
lucide-lab,coconut,segments|milk|smoothie|cocktail|tropical|beach_bar|holiday|vacation|sweet|creamy|snack|ingredient|cooking|cookery|kitchen|cuisine|eating|healthy|nutrition|diet|food-beverage|travel
lucide-lab,coffee-bean,roast|ground|blend|arabica|filter|instant|cafetiere|hot|drink|barista|fair_trade|food-beverage
lucide-lab,coffeemaker,machine|amenities|electronics|appliances|roast|ground|blend|arabica|filter|instant|cafetiere|hot|drink|barista|fair_trade|food-beverage|devices
lucide-lab,coins-exchange,exchange|trader|trading|transaction|swap|finance|financial|markets|currency|money
lucide-lab,coins-stack,cash|finance|financial|markets|exchange|trader|trading|transaction|payment|payroll|wages|income|pocket_money|allowance|savings|banking|gamble|money|currency|account|shopping|gaming
lucide-lab,copy-code,clone|duplicate|multiple|codebase|source|raw|snippets|gists|text|development
lucide-lab,copy-down,read|dictionary|booklet|library|code|version_control|git|repository|clone|download_all|development
lucide-lab,copy-file-path,relative|location|multiple|files|development|text
lucide-lab,copy-image,clone|duplicate|multiple|images|pictures|photos|album|collection|event|gallery|photography|text|multimedia|files|social|design|development
lucide-lab,copy-text,clone|duplicate|multiple|texts|lines|drafts|script|plagiarism|text
lucide-lab,copy-type,formatting|styling|rich_text|rtf|fonts|font_book|typography|collection|slab_serif|clone|duplicate|multiple|toolbar|button|text|tools|design
lucide-lab,cow-head,milk|dairy|drink|diet|unpasturised|lactose|livestock|cattle|calf|bovine|farmyard|hoofs|hooved|mammal|animals|food-beverage
lucide-lab,cow-udder-droplets,milk|dairy|drink|diet|unpasturised|lactose|livestock|cattle|calf|bovine|farmyard|hoofs|hooved|mammal|animals|food-beverage
lucide-lab,crab,crustacean|shell|pinch|snap|crawl|sideways|ocean|marine_life|seabed|seaside|summer_holiday|beach|sand|water|bucket|fishing|catch|lobster|zodiac|astrology|star_sign|cancer|horoscope|animals
lucide-lab,cricket-ball,bowler|batsman|batting|fielder|runs|wicket|innings|overs|score|umpire|spin|catch|bounce|ashes|summer|sports|gaming
lucide-lab,cricket-wicket,bowler|ball|batsman|batting|fielder|runs|innings|overs|out|duck|score|umpire|spin|catch|bounce|ashes|summer|sports|gaming
lucide-lab,cross-square,healthcare|first_aid_kit|paramedic|medkit|medikit|medpack|medicine|pharmacy|pharmaceutical|add|cross|box|medical|gaming
lucide-lab,crosshair-2-dot,aim|target|scope|sight|reticule|gaming|cursors
lucide-lab,crosshair-2,aim|target|scope|sight|reticule|gaming|cursors
lucide-lab,crosshair-plus-dot,aim|target|scope|sight|reticule|gaming|cursors
lucide-lab,crosshair-plus,aim|target|scope|sight|reticule|gaming|cursors
lucide-lab,crosshair-square,aim|target|scope|sight|reticule|gaming|cursors|photography
lucide-lab,cup-saucer,mug|hot|drink|cafe|tea|food-beverage
lucide-lab,cup-to-go,coffee|roast|ground|blend|arabica|filter|instant|cafe|hot|drink|barista|fair_trade|packaging|disposable|recycling|cardboard|plastic|take_away|food-beverage
lucide-lab,currency-square,finance|financial|markets|exchange|trader|trading|transaction|payment|symbol|scarab|toolbar|button|currency|money
